;Bank;;Navn;Rente
1;Bulder Bank (Sparebanken Vest);;Sparekonto;1,25
2;Sparebanken Narvik;;Spar Xtra;1,25
3;SpareBank 1 Hallingdal Valdres;;PULS;1,22
4;yA Bank AS (Resurs Bank AB);;yA Høyrentekonto Pluss;1,20
5;Strømmen Sparebank;;Plasseringskonto;1,20
6;Aurskog Sparebank;;Spareplan;1,20
7;Santander Consumer Bank AS;;Høyrentekonto Pluss;1,19
8;Nordax Bank AB (publ);;Sparekonto;1,17
9;Avida Finans AB NUF;;FlexiSpar;1,17
10;Svea Bank AB, Filial i Norge;;Sparekonto;1,15
11;Selbu Sparebank;;Sparing 3 mnd oppsigelse;1,15
12;yA Bank AS (Resurs Bank AB);;yA Høyrentekonto;1,15
13;Kraft Bank ASA;;Høyrente;1,13
14;Aprila Bank ASA;;Sparekonto;1,13
15;Skudenes & Aakra Sparebank;;Drømmekonto;1,10
16;INSTABANK ASA;;Sparekonto;1,10
17;TF Bank Norge NUF;;Sparekonto;1,10
18;Evje og Hornnes Sparebank;;Superspar;1,10
19;Tolga-Os Sparebank;;Innskudd med oppsigelse 31 dager;1,10
20;Santander Consumer Bank AS;;Høyrentekonto;1,09
21;Valle Sparebank;;Vallespar;1,00
22;Sparebanken Øst;;Innskudd med binding 12 måneder;1,00
23;SpareBank 1 Hallingdal Valdres;;Grønt Innskudd;1,00
24;Etnedal Sparebank;;BSU Pluss etter 34 år;1,00
25;Trøgstad Sparebank;;Plasseringskonto privatkunder;1,00
26;MYBANK ASA;;Sparekonto;0,99
27;sparesmart.no (Eika Kredittbank AS);;Sparesmartkonto;0,95
28;Skue Sparebank;;BSU Pluss etter 34 år;0,95
29;SpareBank 1 Modum;;Sparekonto+;0,95
30;Skue Sparebank;;Skue Månedsspar;0,95
31;Marker Sparebank;;Plasseringskonto;0,95
32;Handelsbanken NUF;;Fordelskonto Spare;0,93
33;Akademikerne (Danske Bank);;Sparekonto;0,93
34;OBOS-banken AS;;Plasseringskonto+ 31 dager;0,90
35;Marker Sparebank;;Aktiv Spar;0,90
36;Monio AS (Sparebank 1 SR-Bank);;Monio sparekonto;0,90
37;Romsdal Sparebank;;BSU konto pluss etter 34 år;0,90
38;Danske Bank;;Sikkerhet i innskudd;0,85
39;Bluestep Bank AB (publ), filial Oslo;;SparekontoFlex;0,85
40;Skue Sparebank;;Skue Toppspar;0,85
41;Arendal og Omegns Sparekasse;;Sparekonto med fast sparing;0,80
42;Bluestep Bank AB (publ), filial Oslo;;SparekontoPluss;0,80
43;Drangedal Sparebank;;BSU Pluss etter 34 år;0,75
44;Lillesands Sparebank;;MånedsSpar;0,75
45;Jæren Sparebank;;JærSpar;0,75
46;Sparebanken Øst;;Innskudd med binding 6 måneder;0,75
47;Aasen Sparebank;;Smartspar;0,75
48;SpareBank 1 Ringerike Hadeland;;Plasseringskonto for personkunder;0,70
49;Bank2 ASA;;Bank2 Sparekonto;0,70
50;Luster Sparebank;;Månadsspar;0,70
51;SpareBank 1 Ringerike Hadeland;;BSU+ etter 34 år;0,70
52;SpareBank 1 Ringerike Hadeland;;Sparekonto Privat ekstra;0,70
53;KLP Banken AS;;Topprentekonto - Medlem;0,65
54;KLP Banken AS;;Sparekonto - medlem;0,65
55;OBOS-banken AS;;OBOS-konto;0,65
56;Haugesund Sparebank;;Sparekonto;0,65
57;Østre Agder Sparebank;;Plasseringskonto med 1 mnd. oppsigelse;0,65
58;SpareBank 1 Gudbrandsdal;;Sparekonto +;0,60
59;SpareBank 1 Gudbrandsdal;;LOfavør Sparekonto;0,60
60;SpareBank 1 Lom og Skjåk;;Sparekonto+;0,60
61;Sparebanken Øst;;FriSpar;0,60
62;Søgne og Greipstad Sparebank;;Framtid 31;0,60
63;BN Bank ASA;;Spiffkonto;0,60
64;Høland og Setskog Sparebank;;Ordinær kapitalkonto;0,60
65;Din Bank (Sparebanken Øst);;DinSPAREKONTO;0,60
66;BN Bank ASA;;Høyrentekonto;0,60
67;Bank Norwegian AS;;Sparekonto;0,60
68;Jernbanepersonalets Bank og Forsikring;;BSU Pluss etter 34 år;0,60
69;Drangedal Sparebank;;Kapitalkonto;0,60
70;Topprente.no (Sparebanken Øst);;Topprente;0,60
71;SpareBank 1 Sørøst-Norge;;LOfavør Sparekonto;0,55
72;Odal Sparebank;;Totalspar;0,55
73;Skagerrak Sparebank;;BSU Pluss etter 34 år;0,55
74;Danske Bank;;SPAR Platinum;0,55
75;Evje og Hornnes Sparebank;;Sparekonto 31d;0,55
76;Romsdal Sparebank;;Romsdal Spar;0,55
77;Komplett Bank ASA;;Sparekonto;0,55
78;Sparebanken Vest;;Grønt Innskudd;0,50
79;Din Bank (Sparebanken Øst);;DinKONTO+;0,50
80;Aasen Sparebank;;Innherredskonto;0,50
81;Haltdalen Sparebank;;BSU+ etter 34 år;0,50
82;Unio (Nordea Direct);;Høyrentekonto;0,50
83;Skudenes & Aakra Sparebank;;BSU 2 - etter fylte 36 år;0,50
84;Nordea Direct;;Høyrentekonto;0,50
85;Kvinesdal Sparebank;;Banken Spar;0,50
86;Evje og Hornnes Sparebank;;SparekontoPLUSS;0,50
87;NAL (Nordea Direct);;Høyrentekonto;0,50
88;YS (Nordea Direct);;Høyrentekonto;0,50
89;SpareBank 1 Østlandet;;Månedspar;0,45
90;Stadsbygd Sparebank;;Toppkonto;0,45
91;Orkla Sparebank;;BSU Pluss etter 34 år;0,45
92;Fana Sparebank;;Sparekonto;0,45
93;Eidsberg Sparebank;;Sparekonto;0,45
94;SpareBank 1 SR-Bank;;LOfavør Sparekonto;0,45
95;Jernbanepersonalets Bank og Forsikring;;Sparekonto;0,45
96;SpareBank 1 Hallingdal Valdres;;Sparekonto;0,45
97;SpareBank 1 Hallingdal Valdres;;LO favør Sparekonto;0,45
98;Grue Sparebank;;Sparekonto;0,45
99;Skue Sparebank;;Skue Trappespar;0,45
100;Totens Sparebank;;Sparekonto Ekstra;0,45
101;Blaker Sparebank;;Sparekonto med 31 dagers oppsigelse;0,45
102;SpareBank 1 Helgeland;;Drømmespar;0,45
103;BRABANK ASA;;EasySpar;0,45
104;Østre Agder Sparebank;;Sparekonto;0,40
105;Søgne og Greipstad Sparebank;;Frispar;0,40
106;Søgne og Greipstad Sparebank;;Boligspar over 34 år;0,40
107;Cultura Sparebank;;Høyrentekonto;0,40
108;Tolga-Os Sparebank;;Særvilkårskonto;0,40
109;Grong Sparebank;;Namdalskonto;0,40
110;Romerike Sparebank;;Nettspar;0,40
111;Barespar.no (BN Bank ASA);;Barespar;0,40
112;Hjelmeland Sparebank;;BSU Pluss etter 36 år;0,40
113;Romerike Sparebank;;Sparekonto;0,40
114;Romerike Sparebank;;Plasseringskonto;0,40
115;SpareBank 1 Lom og Skjåk;;LO Favør sparekonto;0,40
116;SpareBank 1 Østlandet;;Grønt månedsspar;0,40
117;KLP Banken AS;;Sparekonto;0,40
118;SpareBank 1 Søre Sunnmøre;;Plasseringskonto+;0,40
119;Strømmen Sparebank;;Nettspar;0,40
120;Østre Agder Sparebank;;Månedsspar;0,40
121;Fana Sparebank;;Grønn Sparekonto;0,40
122;KLP Banken AS;;Topprentekonto;0,40
123;Tolga-Os Sparebank;;Plasseringskonto;0,35
124;Stadsbygd Sparebank;;Plasseringskonto;0,35
125;SpareBank 1 Søre Sunnmøre;;BSU+ etter 34 år;0,35
126;Valle Sparebank;;Sparekonto;0,35
127;Marker Sparebank;;Sparekonto;0,35
128;Åfjord Sparebank;;Sparekonto;0,35
129;Voss Sparebank;;Sparekonto med 31 dagars oppseiing;0,35
130;NAL (Nordea Direct);;Sparekonto;0,35
131;YS (Nordea Direct);;Sparekonto;0,35
132;Unio (Nordea Direct);;Sparekonto;0,35
133;Orkla Sparebank;;Sparekonto;0,35
134;Tolga-Os Sparebank;;Gullkonto;0,35
135;Handelsbanken NUF;;eKapitalkonto;0,35
136;Danske Bank;;SPAR Ekstra - for deg med boliglån;0,35
137;Handelsbanken NUF;;Høyrentekonto;0,35
138;SpareBank 1 SMN;;LO favør sparekonto;0,35
139;SpareBank 1 Østlandet;;Sparekonto;0,35
140;Spareskillingsbanken;;Sparing med 31 dagers oppsigelse;0,35
141;SpareBank 1 Østfold Akershus;;Plasseringskonto pluss - med binding;0,35
142;SpareBank 1 Søre Sunnmøre;;Sparekonto;0,35
143;SpareBank 1 Søre Sunnmøre;;LOfavør Sparekonto;0,35
144;SpareBank 1 Nordmøre;;Sparekonto;0,35
145;Valle Sparebank;;Kapitalkonto;0,35
146;SpareBank 1 Nordmøre;;Sparekonto Nordmøre+;0,35
147;SpareBank 1 Østlandet;;LOfavør sparekonto;0,35
148;Valle Sparebank;;Plasseringskonto;0,35
149;Aasen Sparebank;;Konto m/31 dagers oppsigelse;0,35
150;Evje og Hornnes Sparebank;;Sparekonto;0,35
151;Landkreditt Bank AS;;Kapitalkonto;0,30
152;SpareBank 1 Gudbrandsdal;;Plasseringskonto;0,30
153;Landkreditt Bank AS;;Vekstkonto;0,30
154;Sandnes Sparebank;;Sparekonto;0,30
155;Nybygger.no (Sparebanken Øst);;Sparekonto Nybygger.no;0,30
156;Landkreditt Bank AS;;Kapitalkonto Medlem;0,30
157;SpareBank 1 Østfold Akershus;;Sparekonto;0,30
158;Spareskillingsbanken;;BSUx2 etter 34 år;0,30
159;Landkreditt Bank AS;;Sparekonto;0,30
160;Aasen Sparebank;;BSU + etter 34 år;0,30
161;SpareBank 1 Helgeland;;Sparekonto;0,30
162;SpareBank 1 Østfold Akershus;;LOfavør sparekonto;0,30
163;Romsdal Sparebank;;Sparekonto;0,30
164;SpareBank 1 Helgeland;;BSU 2.0 over 34 år;0,30
165;Trøgstad Sparebank;;Kapitalkonto;0,30
166;Bien Sparebank ASA;;BSU Pluss etter 34 år;0,30
167;Strømmen Sparebank;;Sparekonto;0,30
168;Skudenes & Aakra Sparebank;;Sparekonto;0,30
169;Aasen Sparebank;;AasenKonto;0,30
170;Næringsbanken ASA;;Sparekonto;0,30
171;Haugesund Sparebank;;Kapitalkonto;0,30
172;Sparebanken DIN;;Plasseringskonto 32. dagers oppsigelse;0,30
173;SpareBank 1 SR-Bank;;Sparekonto uten uttaksbegrensninger;0,30
174;Danske Bank;;Nettspar;0,30
175;Bien Sparebank ASA;;Sparekonto;0,30
176;Storebrand Bank ASA;;Sparekonto;0,30
177;SpareBank 1 Østlandet;;Sparekonto ekstra;0,30
178;Flekkefjord Sparebank;;Sparekonto;0,30
179;Tolga-Os Sparebank;;Boliogsparing for ungdom PLUSS etter 34 år;0,30
180;Storebrand Bank ASA;;Plasseringskonto;0,30
181;Sparebanken Øst;;Kapitalspar;0,27
182;Nidaros Sparebank;;Spar;0,25
183;Haugesund Sparebank;;Plasseringskonto;0,25
184;Nordic Corporate Bank ASA;;Privatkonto;0,25
185;DNB Bank ASA;;Sparekonto;0,25
186;Aurskog Sparebank;;Sparekonto;0,25
187;Ørskog Sparebank;;BSU Pluss (etter 34 år);0,25
188;NORDEA BANK ABP, FILIAL I NORGE;;Boligsparekonto etter fylte 34 år;0,25
189;Andebu Sparebank;;Sparekonto;0,25
190;Sparebanken Narvik;;Sparekonto;0,25
191;DNB Bank ASA;;Sparekonto Pluss;0,25
192;Sparebanken Sør;;Sparekonto Total+;0,25
193;Tinn Sparebank;;Kapitalkonto;0,25
194;Tysnes Sparebank;;TysnesSpar;0,25
195;SpareBank 1 Sørøst-Norge;;Private Banking konto;0,25
196;Birkenes Sparebank;;Plasseringskonto med 1 mnd oppsigelse;0,25
197;NORDEA BANK ABP, FILIAL I NORGE;;BufferSpar;0,25
198;Sparebanken Sogn og Fjordane;;Sparekonto Privat;0,25
199;Blaker Sparebank;;Sparekonto Pluss;0,25
200;Sparebanken Sogn og Fjordane;;Bustadsparekonto etter 35 år;0,25
201;Kvinesdal Sparebank;;Superspar 3;0,25
202;Tinn Sparebank;;BSU+ etter 34 år;0,25
203;Sparebanken DIN;;Sparekonto;0,25
204;Berg Sparebank;;Kapitalkonto Pluss;0,25
205;Odal Sparebank;;Sparekonto;0,25
206;Luster Sparebank;;Plasseringskonto;0,25
207;Askim og Spydeberg Sparebank;;Sparekonto;0,25
208;Nordea Direct;;Sparekonto;0,25
209;Arendal og Omegns Sparekasse;;Trappekonto;0,25
210;SpareBank 1 SMN;;Sparekonto;0,25
211;Sunndal Sparebank;;SuperSpar;0,25
212;Berg Sparebank;;Kapitalkonto;0,25
213;Landkreditt Bank AS;;Spare+;0,25
214;Rindal Sparebank;;Sparekonto;0,25
215;NORDEA BANK ABP, FILIAL I NORGE;;Sparekonto Ekstra;0,25
216;NORDEA BANK ABP, FILIAL I NORGE;;Sparekonto;0,25
217;Ørskog Sparebank;;Sparekonto;0,25
218;DNB Bank ASA;;Superspar;0,25
219;Sparebanken Sør;;SmartSpar;0,25
220;SpareBank 1 Lom og Skjåk;;BSU + etter 34 år;0,25
221;Larvikbanken;;Sparekonto eKunde;0,22
222;Sparebanken Narvik;;BSU Pluss etter 34 år;0,20
223;Gildeskål Sparebank;;BSU+ etter 34 år;0,20
224;Totens Sparebank;;Sparekonto;0,20
225;Melhusbanken;;BSU Pluss etter 34 år;0,20
226;SpareBank 1 Modum;;LO-Kapitalkonto;0,20
227;Voss Sparebank;;VossVekst;0,20
228;Soknedal Sparebank;;Plasseringskonto;0,20
229;Sogn Sparebank;;Sparekonto;0,20
230;Romsdal Sparebank;;Brukskonto fordelskunde;0,20
231;365Direkte AS (Danske Bank);;365 Turbospar;0,20
232;Birkenes Sparebank;;Kapitalkonto;0,20
233;Jæren Sparebank;;Sparekonto;0,20
234;Hegra Sparebank;;Plasseringskonto;0,20
235;Selbu Sparebank;;Sparekonto;0,20
236;SpareBank 1 Sørøst-Norge;;Plasseringskonto Privat;0,20
237;SpareBank 1 Lom og Skjåk;;Kapitalkonto;0,20
238;Trøgstad Sparebank;;Kapitalkonto krone+;0,20
239;Ørland Sparebank;;Totalkonto;0,20
240;Sparebanken Sogn og Fjordane;;Sparekonto Pluss;0,20
241;Melhusbanken;;Sparekonto;0,20
242;Oslofjord Sparebank;;Fornebukonto;0,20
243;Haltdalen Sparebank;;Kapitalkonto;0,20
244;Spareskillingsbanken;;Skillingskonto;0,20
245;SpareBank 1 Nordmøre;;LOfavør sparekonto;0,20
246;Melhusbanken;;Høyrente med 31 d oppsigelse;0,20
247;Kvinesdal Sparebank;;Kapitalkonto;0,20
248;Luster Sparebank;;Langtidssparing;0,20
249;Sparebanken Sør;;Sparekonto Total, UNG 18-33 og Student;0,20
250;Sbanken ASA;;Sparekonto;0,16
251;Vekselbanken;;Sparekonto;0,15
252;Sparebank 68° Nord;;Plasseringskonto PM;0,15
253;Cultura Sparebank;;Støttekonto;0,15
254;Valdres Sparebank;;BSU Pluss etter 34 år;0,15
255;Rørosbanken Røros Sparebank;;BSU Pluss etter 34 år;0,15
256;SpareBank 1 Nord-Norge;;StartBSU over 34 år;0,15
257;Hjartdal og Gransherad Sparebank;;Sparekonto;0,15
258;Sparebank 68° Nord;;Sparekonto;0,15
259;Rørosbanken Røros Sparebank;;Sparekonto m/32 dagers oppsigelse;0,15
260;Cultura Sparebank;;Sparekonto;0,15
261;Blaker Sparebank;;Sparekonto uten binding;0,15
262;Valdres Sparebank;;Sparekonto/Kapitalkonto;0,15
263;Hjartdal og Gransherad Sparebank;;Avtalespar;0,15
264;Sparebanken Sør;;Sparekonto;0,15
265;Nidaros Sparebank;;Bufferspar;0,15
266;SpareBank 1 Helgeland;;LOfavør Sparekonto;0,15
267;Rørosbanken Røros Sparebank;;Sparekonto;0,15
268;Bjugn Sparebank;;Sparekonto;0,15
269;Bjugn Sparebank;;Sparekonto Pluss;0,15
270;Sparebank 68° Nord;;BSU Pluss etter 34 år;0,15
271;Skagerrak Sparebank;;Kapitalkonto;0,15
272;Valdres Sparebank;;Sparekonto Ubekymra;0,15
273;SpareBank 1 Nord-Norge;;IPA Høyrentekonto;0,15
274;Hegra Sparebank;;Høyrente med 62 dager binding;0,10
275;Oslofjord Sparebank;;Sparekonto;0,10
276;Sparebanken Vest;;Høyrentekonto;0,10
277;Oppdalsbanken;;Sparekonto;0,10
278;Sparebanken DIN;;BSU-PLUSS etter 34 år;0,10
279;Larvikbanken;;Sparekonto ordinær;0,10
280;NORDirekte (Skagerrak Sparebank);;Høyrente Privat;0,10
281;SpareBank 1 Gudbrandsdal;;Kapitalkonto;0,10
282;Sunndal Sparebank;;Sunndalskonto;0,10
283;SpareBank 1 SMN;;Plasseringskonto;0,10
284;SpareBank 1 Nord-Norge;;Sparekonto;0,10
285;SpareBank 1 Modum;;Kapitalkonto;0,10
286;Aurskog Sparebank;;Plasseringskonto;0,10
287;SpareBank 1 Sørøst-Norge;;Sparekonto Privat;0,10
288;SpareBank 1 Modum;;BSU+ etter 34 år;0,10
289;Spareskillingsbanken;;Sparekonto;0,10
290;Lillesands Sparebank;;Spar Total;0,10
291;SpareBank 1 Nord-Norge;;LOfavør Sparekonto;0,10
292;SpareBank 1 Lom og Skjåk;;Plasseringskonto+;0,10
293;Etne Sparebank;;Sparekonto;0,10
294;Hegra Sparebank;;Høyrente med 31 dagers binding;0,10
295;BN Bank ASA;;Sparekonto Pluss;0,10
296;Hemne Sparebank;;Smart-konto;0,10
297;Hemne Sparebank;;Gull-konto;0,10
298;Oppdalsbanken;;Særvilkårskonto;0,10
299;Kvinesdal Sparebank;;Plasseringskonto;0,10
300;SpareBank 1 Sørøst-Norge;;Plasseringskonto+;0,10
301;Stadsbygd Sparebank;;Sparekonto Oppsigelse;0,10
302;Hemne Sparebank;;Skattetrekkskonto;0,05
303;Etnedal Sparebank;;Sparekonto;0,05
304;Voss Sparebank;;Sparekonto;0,05
305;Evje og Hornnes Sparebank;;BSUpluss etter 34 år;0,05
306;Lillesands Sparebank;;Kapitalkonto;0,05
307;Ørland Sparebank;;ØrlandSpar;0,05
308;Gildeskål Sparebank;;Sparekonto;0,05
309;Sparebanken Møre;;Møre Verdi Plasseringskonto;0,05
310;Voss Sparebank;;Kapitalkonto;0,05
311;SpareBank 1 Gudbrandsdal;;Skattetrekkskonto;0,00
312;Pareto Bank ASA;;Paretokonto privat;0,00
313;Handelsbanken NUF;;Aksjehandelskonto;0,00
314;Sparebanken Møre;;Ordinær Plasseringskonto;0,00
315;Maritime & Merchant Bank ASA;;Sparekonto;0,00
316;Trøgstad Sparebank;;BSU Pluss over 34 år;0,00
317;Topprente.no (Sparebanken Øst);;Topprente+;0,00
318;SpareBank 1 SMN;;Plasseringskonto pluss;0,00
319;Nordic Corporate Bank ASA;;Plasseringskonto;0,00
320;Skue Sparebank;;Skue sparekonto;0,00
321;Østre Agder Sparebank;;Skattetrekkskonto;0,00
322;SpareBank 1 Hallingdal Valdres;;LO Favør Brukskonto;0,00
323;Larvikbanken;;Brukskonto;0,00
324;Sunndal Sparebank;;Skattetrekkskonto;0,00
325;Grue Sparebank;;Skattetrekkskonto;0,00
326;NORDirekte (Skagerrak Sparebank);;NORDirekte 31;0,00
327;Cultura Sparebank;;Miljøkonto;0,00
328;Pareto Bank ASA;;Plasseringskonto privat;0,00
